name,first_name,start_date_written,end_date_written,gender,place_of_birth,place_of_death,xml_id
Kräuter,Günther,1956-12-30,2021-08-07,male,http://www.wikidata.org/entity/Q485294,,PAD_00946
Krammer,Christa,1944-06-22,,female,http://www.wikidata.org/entity/Q41945,,PAD_00959
Kukacka,Helmut,1946-04-01,,male,http://www.wikidata.org/entity/Q662757,,PAD_00998
Neisser,Heinrich,1936-03-19,,male,http://www.wikidata.org/entity/Q1741,,PAD_01018
Maderthaner,Leopold,1935-09-09,2007-07-28,male,http://www.wikidata.org/entity/Q2475413,http://www.wikidata.org/entity/Q131266,PAD_01023
Niederwieser,Erwin,1951-02-02,,male,http://www.wikidata.org/entity/Q336250,,PAD_01052
Nowotny,Ewald,1944-06-28,,male,http://www.wikidata.org/entity/Q1741,,PAD_01061
Nürnberger,Rudolf,1945-09-05,,male,http://www.wikidata.org/entity/Q699625,,PAD_01062
Oberhaidinger,Georg,1945-01-27,,male,http://www.wikidata.org/entity/Q251325,,PAD_01066
Marizzi,Peter,1947-06-04,,male,http://www.wikidata.org/entity/Q265948,,PAD_01079
Ofner,Harald,1932-10-25,,male,http://www.wikidata.org/entity/Q1741,,PAD_01101
Ónodi,Heidemarie,1957-08-23,,female,http://www.wikidata.org/entity/Q674814,,PAD_01108
Meischberger,Walter,1959-09-21,,male,http://www.wikidata.org/entity/Q1735,,PAD_01127
Meisinger,Josef,1943-09-11,,male,http://www.wikidata.org/entity/Q250189,,PAD_01128
Mertel,Ilse,1943-09-08,,female,http://www.wikidata.org/entity/Q1553447,,PAD_01137
Messner,Evelyn,1938-11-10,,female,http://www.wikidata.org/entity/Q1741,,PAD_01138
Parfuss,Ludmilla,1942-11-18,,female,,,PAD_01153
Parnigoni,Rudolf,1948-02-26,,male,http://www.wikidata.org/entity/Q671293,,PAD_01155
Partik-Pablé,Helene,1939-08-12,,female,http://www.wikidata.org/entity/Q1741,,PAD_01158
Peter,Helmut,1948-04-21,,male,http://www.wikidata.org/entity/Q567835,,PAD_01185
Petrović,Madeleine,1956-06-25,,female,http://www.wikidata.org/entity/Q1741,,PAD_01186
Mock,Alois,1934-06-10,2017-06-01,male,http://www.wikidata.org/entity/Q673813,http://www.wikidata.org/entity/Q1741,PAD_01199
Pilz,Peter,1954-01-22,,male,http://www.wikidata.org/entity/Q623049,,PAD_01210
Molterer,Wilhelm,1955-05-14,,male,http://www.wikidata.org/entity/Q260320,,PAD_01226
Moser,Hans,1948-09-03,,male,http://www.wikidata.org/entity/Q259893,,PAD_01239
Motter,Klara,1935-10-01,,female,http://www.wikidata.org/entity/Q153969,,PAD_01248
Mühlbachler,Josef,1945-12-23,,male,http://www.wikidata.org/entity/Q683227,,PAD_01257
Posch,Walter,1954-01-15,,male,http://www.wikidata.org/entity/Q492868,,PAD_01278
Prähauser,Stefan,1948-06-21,,male,http://www.wikidata.org/entity/Q34713,,PAD_01288
Praxmarer,Karin,1944-07-09,2021-12-10,female,http://www.wikidata.org/entity/Q244506,,PAD_01293
Murauer,Walter,1948-08-02,,male,http://www.wikidata.org/entity/Q260320,,PAD_01295
Pumberger,Alois,1950-05-26,,male,http://www.wikidata.org/entity/Q267791,,PAD_01316
Verzetnitsch,Friedrich,1945-05-22,2024-07-18,male,http://www.wikidata.org/entity/Q1741,,PAD_01347
Voggenhuber,Johannes,1950-06-05,,male,http://www.wikidata.org/entity/Q34713,,PAD_01355
Vranitzky,Franz,1937-10-04,,male,http://www.wikidata.org/entity/Q1741,,PAD_01368
Tichy-Schreder,Ingrid,1941-12-03,,female,http://www.wikidata.org/entity/Q1741,,PAD_01371
Wabl,Andreas,1951-02-28,,male,http://www.wikidata.org/entity/Q13298,,PAD_01375
Trattner,Гільбэрт,1949-11-20,,male,http://www.wikidata.org/entity/Q692935,,PAD_01396
Wallner,Kurt,1958-04-18,,male,http://www.wikidata.org/entity/Q485294,,PAD_01424
Svazek,Marlene,1992-05-13,,female,http://www.wikidata.org/entity/Q34713,,PAD_01442
Tychtl,Gerald,1941-01-23,,male,http://www.wikidata.org/entity/Q537922,,PAD_01448
Rauch-Kallat,Maria,1949-01-31,,female,http://www.wikidata.org/entity/Q690417,,PAD_01546
Sacher,Ewald,1949-08-03,,male,http://www.wikidata.org/entity/Q131266,,PAD_01565
Fürst,Susanne,1969-05-03,,female,http://www.wikidata.org/entity/Q41329,,PAD_01567
Scheibner,Herbert,1963-04-23,,male,http://www.wikidata.org/entity/Q1741,,PAD_01604
Schieder,Peter,1941-08-20,2013-10-11,male,http://www.wikidata.org/entity/Q1741,http://www.wikidata.org/entity/Q1741,PAD_01613
Zernatto,Christof,1949-06-11,,male,http://www.wikidata.org/entity/Q487527,,PAD_01636
Reichhold,Mathias,1957-07-05,,male,http://www.wikidata.org/entity/Q41753,,PAD_01649
Reitsamer,Annemarie,1941-02-19,,female,http://www.wikidata.org/entity/Q264430,,PAD_01661
Riess,Susanne,1961-01-03,,female,http://www.wikidata.org/entity/Q131128,,PAD_01688
Rosenstingl,Peter,1951-09-06,,male,http://www.wikidata.org/entity/Q1741,,PAD_01708
Schlögl,Karl,1955-01-28,,male,http://www.wikidata.org/entity/Q1741,,PAD_01729
Schmid,Michael,1945-06-07,,male,http://www.wikidata.org/entity/Q502615,,PAD_01733
Schmidt,Heide,1948-11-27,,female,http://www.wikidata.org/entity/Q3994,,PAD_01739
Schöll,Hans,1941-06-04,2003-03-08,male,http://www.wikidata.org/entity/Q1741,,PAD_01763
Schreiner,Эрых,1950-06-26,,male,http://www.wikidata.org/entity/Q1741,,PAD_01773
Schüssel,Wolfgang,1945-06-07,,male,http://www.wikidata.org/entity/Q1741,,PAD_01781
Schuster,Johann,1942-12-30,,male,http://www.wikidata.org/entity/Q41329,,PAD_01788
Wagner,Petra,1968-08-16,,female,http://www.wikidata.org/entity/Q279823,,PAD_01794
Schwarzböck,Rudolf,1947-12-09,,male,http://www.wikidata.org/entity/Q659841,,PAD_01795
Schwarzenberger,Georg,1942-01-23,,male,http://www.wikidata.org/entity/Q259188,,PAD_01796
Schweitzer,Karl,1952-08-07,,male,http://www.wikidata.org/entity/Q663301,,PAD_01803
Schwemlein,Emmerich,1950-07-12,,male,http://www.wikidata.org/entity/Q203344,,PAD_01806
Schwimmer,Walter,1942-06-16,2025-03-12,male,http://www.wikidata.org/entity/Q1741,,PAD_01810
Spindelegger,Michael,1959-12-21,,male,http://www.wikidata.org/entity/Q277965,,PAD_01817
Seidinger,Winfried,1931-05-01,2009-12-31,male,http://www.wikidata.org/entity/Q695639,,PAD_01833
Stippel,Johann,1940-06-15,,male,http://www.wikidata.org/entity/Q673427,,PAD_01860
Wassermann,Sandra,1984-11-25,,female,http://www.wikidata.org/entity/Q41753,,PAD_01866
Sigl,Robert,1943-08-01,,male,http://www.wikidata.org/entity/Q665490,,PAD_01868
Smolle,Karl,1944-09-02,,male,http://www.wikidata.org/entity/Q41753,,PAD_01894
Stoisits,Terezija,1958-11-14,,female,http://www.wikidata.org/entity/Q301284,,PAD_01902
Stummvoll,Günter,1943-03-03,,male,http://www.wikidata.org/entity/Q1741,,PAD_01933
Ragger,Christian,1973-02-20,,male,http://www.wikidata.org/entity/Q487527,,PAD_01937
Pewny,Christian,1967-05-17,,male,http://www.wikidata.org/entity/Q260950,,PAD_01942
Schmiedlechner,Peter,1982-09-16,,male,http://www.wikidata.org/entity/Q34713,,PAD_01944
Rieß,Susanne,1961-09-15,,female,http://www.wikidata.org/entity/Q277965,,PAD_01950
Gerstner,Peter,1959-04-08,,male,,,PAD_01969
Kaniak,Gerhard,1979-03-06,,male,http://www.wikidata.org/entity/Q1741,,PAD_01970
Schandor,Christian,1974,,male,http://www.wikidata.org/entity/Q661272,,PAD_01971
Tschank,Markus,1979-01-06,,male,http://www.wikidata.org/entity/Q1741,,PAD_01972
Baumgartner,Angela,1969-05-20,,female,http://www.wikidata.org/entity/Q660428,,PAD_01974
Bogner-Strauss,Juliane,1971-11-03,,female,http://www.wikidata.org/entity/Q693460,,PAD_01975
Engelberg,Martin,1960-03-13,,male,http://www.wikidata.org/entity/Q1741,,PAD_01976
Graf,Tanja,1975-05-07,,female,http://www.wikidata.org/entity/Q1741,,PAD_01977
Grossbauer,Maria,1980-05-25,,female,http://www.wikidata.org/entity/Q265948,,PAD_01978
Grünberg,Kira,1993-08-13,,female,http://www.wikidata.org/entity/Q1735,,PAD_01979
Jachs,Johanna,1991-10-16,,female,http://www.wikidata.org/entity/Q143140,,PAD_01980
Jeitler-Cincelli,Carmen,1980-07-27,,female,http://www.wikidata.org/entity/Q1735,,PAD_01981
Kaufmann,Martina,1986-01-07,,female,http://www.wikidata.org/entity/Q13298,,PAD_01983
Kirchbaumer,Rebecca,1974-08-25,,female,http://www.wikidata.org/entity/Q1735,,PAD_01984
Wolfgang,Barbara,1969,2019-04-03,female,http://www.wikidata.org/entity/Q251065,http://www.wikidata.org/entity/Q1741,PAD_01985
Kugler,Gudrun,1976-11-12,,female,http://www.wikidata.org/entity/Q430449,,PAD_01986
Kühberger,Andreas,1974-04-24,,male,http://www.wikidata.org/entity/Q485294,,PAD_01987
Lindinger,Klaus,1988-10-22,,male,http://www.wikidata.org/entity/Q178582,,PAD_02001
Mahrer,Karl,1955-03-04,,male,http://www.wikidata.org/entity/Q1741,,PAD_02006
Hagenhofer,Marianne,1948-11-26,,female,http://www.wikidata.org/entity/Q131128,,PAD_02009
Puttinger,Günter,1942-11-03,,male,http://www.wikidata.org/entity/Q41329,,PAD_02011
Wimmer,Rainer,1955-08-10,,male,http://www.wikidata.org/entity/Q131633,,PAD_02013
Steibl,Ridi,1951-11-14,,female,http://www.wikidata.org/entity/Q690154,,PAD_02018
Königshofer,Werner,1953-07-09,2025-02-25,male,http://www.wikidata.org/entity/Q1735,,PAD_02019
Marchetti,Nico,1990-02-19,,male,http://www.wikidata.org/entity/Q1741,,PAD_02122
Nehammer,Karl,1972-10-18,,male,http://www.wikidata.org/entity/Q1741,,PAD_02136
Feichtinger,Elisabeth,1987-09-24,,female,http://www.wikidata.org/entity/Q41329,,PAD_02189
Mitterbauer,Maria,1977-07-31,,female,http://www.wikidata.org/entity/Q34713,,PAD_02242
Plakolm,Claudia,1994-12-10,,female,http://www.wikidata.org/entity/Q41329,,PAD_02295
Hochstetter-Lackner,Irene,1973-04-25,,female,http://www.wikidata.org/entity/Q485294,,PAD_02296
Rosenberger,Alois,1960,,male,http://www.wikidata.org/entity/Q673789,,PAD_02297
Holzleitner,Eva-Maria,1993-05-05,,female,http://www.wikidata.org/entity/Q178582,,PAD_02309
Schnoll,Stefan,1988-03-13,,male,http://www.wikidata.org/entity/Q34713,,PAD_02315
Schrott,Dominik,1987-12-03,,male,http://www.wikidata.org/entity/Q145997,,PAD_02320
Schwarz,Gabriela,1963-09-03,,female,http://www.wikidata.org/entity/Q1741,,PAD_02326
Stark,Christoph,1967-04-01,,male,http://www.wikidata.org/entity/Q643600,,PAD_02327
Kovacevic,Christian,1983-08-06,,male,http://www.wikidata.org/entity/Q253639,,PAD_02328
Taschner,Rudolf,1953-03-30,,male,http://www.wikidata.org/entity/Q659984,,PAD_02329
Laimer,Robert,1966-08-03,,male,http://www.wikidata.org/entity/Q82500,,PAD_02330
Weidinger,Peter,1977-11-21,,male,http://www.wikidata.org/entity/Q483522,,PAD_02331
Zarits,Christoph,1980-11-16,,male,http://www.wikidata.org/entity/Q126321,,PAD_02332
Margreiter,Doris,1968-11-14,,female,http://www.wikidata.org/entity/Q678534,,PAD_02333
Nussbaum,Verena,1970-02-19,,female,http://www.wikidata.org/entity/Q13298,,PAD_02334
Sandler,Birgit,1964-01-01,,female,http://www.wikidata.org/entity/Q485294,,PAD_02335
Noll,Alfred,1960-01-30,,male,http://www.wikidata.org/entity/Q34713,,PAD_02336
Schatz,Sabine,1978-09-09,,female,http://www.wikidata.org/entity/Q260320,,PAD_02337
Wimmer,Petra,1965-12-13,,female,http://www.wikidata.org/entity/Q178582,,PAD_02338
Yıldırım,Selma,1969-08-25,,female,http://www.wikidata.org/entity/Q406,,PAD_02339
Cox,Stephanie,1989-01-31,,female,http://www.wikidata.org/entity/Q3130,,PAD_02340
Griss,Irmgard,1946-10-13,,female,http://www.wikidata.org/entity/Q573106,,PAD_02342
Hoyos,Douglas,1990-09-08,,male,http://www.wikidata.org/entity/Q41753,,PAD_02343
Krisper,Stephanie,1980-05-24,,female,http://www.wikidata.org/entity/Q1741,,PAD_02344
Zadić,Alma,1984-05-24,,female,http://www.wikidata.org/entity/Q174684,,PAD_02345
Kolba,Peter,1959-01-17,,male,http://www.wikidata.org/entity/Q1741,,PAD_02346
Friedl,Klaudia,1963-03-21,,female,http://www.wikidata.org/entity/Q1252932,,PAD_02347
Bißmann,Martha,1980-03-23,,female,http://www.wikidata.org/entity/Q13298,,PAD_02349
Waitz,Thomas,1973-05-16,,male,http://www.wikidata.org/entity/Q1741,,PAD_02510
Vilimsky,Harald,1966-07-22,,male,http://www.wikidata.org/entity/Q1741,,PAD_02708
Westenthaler,Peter,1967-11-06,,male,http://www.wikidata.org/entity/Q1741,,PAD_02723
Silhavy,Heidrun,1956-05-20,,female,http://www.wikidata.org/entity/Q13298,,PAD_02763
Wurm,Gisela,1957-07-31,,female,http://www.wikidata.org/entity/Q253639,,PAD_02768
Michalek,Nikolaus,1940-04-05,,male,http://www.wikidata.org/entity/Q1741,,PAD_02783
Scholten,Rudolf,1955-11-03,,male,http://www.wikidata.org/entity/Q1741,,PAD_02789
Klima,Viktor,1947-06-04,,male,http://www.wikidata.org/entity/Q489972,,PAD_02791
Schender,Horst,1938-08-16,,male,http://www.wikidata.org/entity/Q41329,,PAD_02793
Fiedler,Franz,1944-03-17,,male,http://www.wikidata.org/entity/Q1741,,PAD_02801
Haubner,Ursula,1945-12-22,,female,http://www.wikidata.org/entity/Q252674,,PAD_02803
Brix,Otmar,1944-07-16,2003-07-26,male,http://www.wikidata.org/entity/Q1741,http://www.wikidata.org/entity/Q1492,PAD_02813
Фухс,Brunhilde,1947-03-17,,female,http://www.wikidata.org/entity/Q1741,,PAD_02814
Kaufmann,Herbert,1949-10-27,,male,http://www.wikidata.org/entity/Q277965,,PAD_02815
Kummerer,Werner,1948-05-19,2019-05-30,male,http://www.wikidata.org/entity/Q660428,,PAD_02816
Müller,Karl,1957-04-13,,male,http://www.wikidata.org/entity/Q483522,,PAD_02817
Rada,Robert,1949-04-13,2016-10-28,male,http://www.wikidata.org/entity/Q453277,,PAD_02818
Amon,Werner,1969-05-28,,male,http://www.wikidata.org/entity/Q13298,,PAD_02819
Brader,Alfred,1956-05-06,,male,http://www.wikidata.org/entity/Q82500,,PAD_02820
Donabauer,Karl,1945-05-19,,male,http://www.wikidata.org/entity/Q524439,,PAD_02821
Kopf,Karlheinz,1957-06-27,,male,http://www.wikidata.org/entity/Q698591,,PAD_02822
Kurzbauer,Johann,1943-06-11,,male,http://www.wikidata.org/entity/Q700307,,PAD_02823
Maitz,Karl,1939-12-03,,male,http://www.wikidata.org/entity/Q689675,,PAD_02825
Morak,Franz,1946-05-25,,male,http://www.wikidata.org/entity/Q13298,,PAD_02826
Platter,Günther,1954-06-07,,male,http://www.wikidata.org/entity/Q145997,,PAD_02827
Sauer,Ўілі,1938-12-17,,male,http://www.wikidata.org/entity/Q664057,,PAD_02829
Schrefel,Josef,1945-02-11,,male,http://www.wikidata.org/entity/Q427008,,PAD_02830
Steindl,Franz,1960-01-10,,male,http://www.wikidata.org/entity/Q267457,,PAD_02831
Wurmitzer,Georg,1943-04-06,,male,,,PAD_02832
Brauneder,Wilhelm,1943-01-08,,male,http://www.wikidata.org/entity/Q277965,,PAD_02833
Graf,Martin,1960-05-11,,male,http://www.wikidata.org/entity/Q1741,,PAD_02834
Grollitsch,Udo,1940-10-21,,male,http://www.wikidata.org/entity/Q485294,,PAD_02835
Höbinger-Lehrer,Liane,1931-10-16,2010-07-15,female,http://www.wikidata.org/entity/Q1741,,PAD_02836
Hofmann,Maximilian,1954-05-11,,male,http://www.wikidata.org/entity/Q251325,,PAD_02837
Krüger,Michael,1955-12-26,,male,http://www.wikidata.org/entity/Q41329,,PAD_02838
Lafer,Franz,1958-02-15,,male,http://www.wikidata.org/entity/Q672717,,PAD_02839
Madl,Elfriede,1949-11-07,,female,http://www.wikidata.org/entity/Q41329,,PAD_02840
Mentil,Hermann,1940-05-23,2020-08-16,male,http://www.wikidata.org/entity/Q674830,,PAD_02841
Preisinger,Susanne,1957-02-15,,female,http://www.wikidata.org/entity/Q1741,,PAD_02843
Rossmann,Mares,1953-12-29,,female,http://www.wikidata.org/entity/Q483522,,PAD_02845
Ruthofer,Kurt,1943-09-16,,male,http://www.wikidata.org/entity/Q487527,,PAD_02846
Salzl,Stefan,1948-06-29,,male,http://www.wikidata.org/entity/Q663981,,PAD_02847
Schöggl,Leopold,1951-11-14,,male,http://www.wikidata.org/entity/Q485294,,PAD_02848
Stadler,Johann,1961-05-21,,male,http://www.wikidata.org/entity/Q698558,,PAD_02849
Wenitsch,Robert,1958-04-09,,male,http://www.wikidata.org/entity/Q1741,,PAD_02850
Haidlmayr,Theresia,1955-09-09,2022-06-12,female,http://www.wikidata.org/entity/Q260320,,PAD_02852
Moser,Gabriela,1954-07-28,2019-03-12,female,http://www.wikidata.org/entity/Q41329,,PAD_02853
Ollinger,Karl,1951-07-21,,male,http://www.wikidata.org/entity/Q267791,,PAD_02854
Pollet-Kammerlander,Doris,1949-02-08,,female,http://www.wikidata.org/entity/Q1741,,PAD_02855
Van der Bellen,Alexander,1944-01-18,,male,http://www.wikidata.org/entity/Q1741,,PAD_02856
Firlinger,Reinhard,1954-11-05,,male,http://www.wikidata.org/entity/Q41329,,PAD_02857
Gredler,Martina,1958-12-29,,female,http://www.wikidata.org/entity/Q1741,,PAD_02858
Haselsteiner,Hans,1944,,male,http://www.wikidata.org/entity/Q253639,,PAD_02859
Kier,Volker,1941-03-02,2023-06-16,male,http://www.wikidata.org/entity/Q3711,,PAD_02860
Schaffenrath,Maria,1951,,female,http://www.wikidata.org/entity/Q302745,,PAD_02861
Rasinger,Erwin,1952-07-30,,male,http://www.wikidata.org/entity/Q1741,,PAD_02862
Nußbaumer,Wolfgang,1937-10-03,,male,http://www.wikidata.org/entity/Q171219,,PAD_02866
Bösch,Reinhard,1957-01-16,,male,http://www.wikidata.org/entity/Q171219,,PAD_02867
Pfeffer,Katharina,1951-10-15,,female,http://www.wikidata.org/entity/Q661084,,PAD_02868
Stiegelbauer,Sonja,1946-09-23,,female,http://www.wikidata.org/entity/Q1735,,PAD_02872
Einem,Caspar,1948-05-06,2021-09-09,male,http://www.wikidata.org/entity/Q34713,,PAD_02873
Lentsch,Edeltraud,1947-03-09,,female,http://www.wikidata.org/entity/Q41945,,PAD_02886
Zweytick,Johannes,1961-05-24,,male,http://www.wikidata.org/entity/Q693460,,PAD_02887
